Generation,Best_F,Mean_F,Fittest_ID,Highest_Count,Most_Common_ID,Highest_Mem,Mean_Mem,Most_Mem_ID
785,324212.300,315747.670,88,1132,65,3,3.000,49
786,323855.300,315485.743,88,1103,65,3,3.000,49
787,323672.300,315608.693,88,1083,65,4,3.001,256
788,324602.300,316330.469,88,1097,65,3,3.000,49
789,324812.300,317025.988,88,1112,65,3,3.000,49
790,324734.300,317227.760,88,1092,65,3,3.000,49
791,323735.300,316290.779,88,1126,65,3,3.000,48
792,324161.300,316501.396,88,1125,65,3,3.000,48
793,323513.300,315282.297,88,1125,65,3,3.000,48
794,324801.300,316541.375,88,1114,65,3,3.000,48
795,325891.300,316792.147,88,1129,65,3,3.000,48
796,325519.300,316908.050,88,1127,65,3,3.000,48
797,326526.300,317423.239,88,1158,65,3,3.000,47
798,326501.300,317068.750,88,1136,65,3,3.000,47
799,325376.300,316961.258,88,1164,65,3,3.000,47
800,324523.300,316905.812,88,1162,65,3,3.000,47
801,325245.300,318541.699,88,1152,65,3,3.000,48
802,325819.300,318448.541,88,1193,65,3,3.000,48
803,325154.300,317029.859,88,1182,65,3,2.999,48
804,324103.300,317887.187,88,1205,65,3,3.000,49
805,323110.300,317671.128,88,1222,65,4,3.001,217
806,321431.300,316399.976,88,1198,65,4,3.001,217
807,321850.300,316787.755,88,1205,65,4,3.001,217
808,322017.300,316568.342,88,1219,65,3,3.000,49
809,321923.300,316223.862,88,1201,65,3,3.000,49
810,323025.300,316225.798,88,1232,65,3,3.000,49
811,323643.300,316906.382,88,1208,65,3,3.000,49
812,323566.300,318152.296,88,1203,65,3,2.999,49
813,324894.300,319832.649,88,1200,65,3,2.999,49
814,323386.300,318120.363,88,1180,65,3,3.000,49
815,323401.300,317945.107,88,1197,65,3,3.000,49
816,323580.300,319331.366,88,1169,65,3,3.000,49
817,323200.300,319131.668,88,1212,65,3,3.000,49
818,322283.300,318625.798,88,1206,65,4,3.001,209
819,323161.300,318034.911,88,1206,65,4,3.002,209
820,322475.300,317624.443,88,1198,65,3,2.999,49
821,321836.300,316213.588,88,1202,65,4,3.001,473
822,322843.300,317436.373,88,1231,65,4,3.001,473
823,323309.300,317247.868,88,1221,65,4,3.001,473
824,324111.300,316752.302,88,1241,65,3,3.000,49
825,323224.300,317166.378,88,1165,65,4,3.001,465
826,322781.300,318935.330,88,1162,65,4,3.001,465
