Generation,Best_F,Mean_F,Fittest_ID,Highest_Count,Most_Common_ID,Highest_Mem,Mean_Mem,Most_Mem_ID
0,295501.300000,2323.108100,101,525,57,4,0.026000,449
1,299558.300000,2891.131200,167,531,57,4,0.032000,449
2,309294.300000,3309.462600,161,549,69,3,0.036000,45
3,321105.300000,3135.235300,161,592,57,3,0.033000,45
4,338844.300000,3220.481800,161,579,57,3,0.033000,45
5,349803.300000,3608.284600,161,571,169,3,0.036000,45
6,351056.300000,3705.975250,161,592,57,3,0.037500,45
7,343294.300000,3925.172350,167,595,169,3,0.038500,45
8,339869.300000,3766.994750,165,611,57,3,0.037500,45
9,366844.300000,4175.542550,161,607,169,3,0.040500,45
10,380974.300000,4451.568200,161,661,169,3,0.042000,45
11,376632.300000,4594.436350,161,637,169,3,0.043500,45
12,381558.300000,4591.837850,161,648,169,3,0.043500,45
13,391941.300000,4859.706050,161,698,169,4,0.045500,417
14,404620.300000,4812.861900,161,740,169,4,0.044000,417
15,406645.300000,4842.857400,161,744,169,4,0.044000,417
16,401447.300000,5022.476550,161,722,169,4,0.045500,417
17,394860.300000,5814.804300,161,695,169,4,0.053000,417
18,388593.300000,5301.355350,161,679,169,4,0.048500,193
19,379516.300000,5563.014100,161,644,169,4,0.051000,193
20,377415.300000,5019.128150,161,635,169,4,0.046500,193
21,369149.300000,5635.009750,161,609,169,4,0.052500,193
22,378329.300000,5680.840300,161,657,169,4,0.053000,193
23,374135.300000,6587.577200,161,639,169,4,0.062000,357
24,359791.300000,6050.707200,161,574,169,4,0.057000,417
25,355362.300000,6117.009850,161,566,169,4,0.058500,417
26,355759.300000,5719.922050,113,564,169,4,0.055500,417
27,348059.300000,5963.061850,113,519,169,4,0.058500,417
28,341781.300000,5571.955050,113,491,169,4,0.055500,417
29,341387.300000,5484.884500,113,481,169,3,0.055000,44
30,330027.300000,5828.544950,111,427,169,3,0.059500,43
31,321864.300000,5384.578150,43,420,57,3,0.056500,43
32,310204.300000,5233.379300,43,403,57,3,0.058000,43
33,303424.300000,5075.517300,43,406,57,3,0.058000,43
34,283708.300000,4539.598500,45,446,49,3,0.055000,45
35,270612.300000,4386.044000,57,479,49,3,0.055000,44
36,268411.300000,4391.508150,57,503,57,3,0.056500,44
37,266007.300000,4354.547150,57,516,49,3,0.056500,44
38,267363.300000,3970.201700,57,549,57,3,0.052000,44
